1,1,4
1,2,4
1,3,4
1,6,4
1,7,4
1,8,4
1,9,4
1,10,4
1,12,4
1,14,4
1,15,4
1,17,4
1,18,4
1,21,4
1,25,4
2,1,4
2,2,4
2,3,4
2,6,4
2,7,4
2,8,4
2,9,4
2,10,4
2,12,4
2,14,4
2,15,4
2,17,4
2,18,4
2,21,4
2,25,4
3,1,4
3,2,4
3,3,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
3,12,4
3,14,4
3,15,4
3,17,4
3,18,4
3,21,4
3,25,4
4,1,1
4,2,1
4,3,1
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
4,12,1
4,14,1
4,15,1
4,17,1
4,18,1
4,21,1
4,25,1
5,1,1
5,2,1
5,3,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,12,1
5,14,1
5,15,1
5,17,1
5,18,1
5,21,1
5,25,1
6,1,4
6,2,4
6,3,4
6,6,4
6,7,4
6,8,4
6,9,4
6,10,4
6,12,4
6,14,4
6,15,4
6,17,4
6,18,4
6,21,4
6,25,4
7,1,4
7,2,4
7,3,4
7,6,4
7,7,4
7,8,4
7,9,4
7,10,4
7,12,4
7,14,4
7,15,4
7,17,4
7,18,4
7,21,4
7,25,4
8,1,1
8,2,1
8,3,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,12,1
8,14,1
8,15,1
8,17,1
8,18,1
8,21,1
8,25,1
9,1,4
9,2,4
9,3,4
9,6,4
9,7,4
9,8,4
9,9,4
9,10,4
9,12,4
9,14,4
9,15,4
9,17,4
9,18,4
9,21,4
9,25,4
10,1,2
10,2,2
10,3,2
10,6,2
10,7,2
10,8,2
10,9,2
10,10,2
10,12,2
10,14,2
10,15,2
10,17,2
10,18,2
10,21,2
10,25,2
11,1,2
11,2,2
11,3,2
11,6,2
11,7,2
11,8,2
11,9,2
11,10,2
11,12,2
11,14,2
11,15,2
11,17,2
11,18,2
11,21,2
11,25,2
12,1,4
12,2,4
12,3,4
12,6,4
12,7,4
12,8,4
12,9,4
12,10,4
12,12,4
12,14,4
12,15,4
12,17,4
12,18,4
12,21,4
12,25,4
13,1,4
13,2,4
13,3,4
13,6,4
13,7,4
13,8,4
13,9,4
13,10,4
13,12,4
13,14,4
13,15,4
13,17,4
13,18,4
13,21,4
13,25,4
14,1,1
14,2,1
14,3,1
14,6,1
14,7,1
14,8,1
14,9,1
14,10,1
14,12,1
14,14,1
14,15,1
14,17,1
14,18,1
14,21,1
14,25,1
15,1,4
15,2,4
15,3,4
15,6,4
15,7,4
15,8,4
15,9,4
15,10,4
15,12,4
15,14,4
15,15,4
15,17,4
15,18,4
15,21,4
15,25,4
16,1,1
16,2,1
16,3,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,12,1
16,14,1
16,15,1
16,17,1
16,18,1
16,21,1
16,25,1
17,1,4
17,2,4
17,3,4
17,6,4
17,7,4
17,8,4
17,9,4
17,10,4
17,12,4
17,14,4
17,15,4
17,17,4
17,18,4
17,21,4
17,25,4
18,1,1
18,2,1
18,3,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,1
18,12,1
18,14,1
18,15,1
18,17,1
18,18,1
18,21,1
18,25,1
19,1,1
19,2,1
19,3,1
19,6,1
19,7,1
19,8,1
19,9,1
19,10,1
19,12,1
19,14,1
19,15,1
19,17,1
19,18,1
19,21,1
19,25,1
20,1,4
20,2,4
20,3,4
20,6,4
20,7,4
20,8,4
20,9,4
20,10,4
20,12,4
20,14,4
20,15,4
20,17,4
20,18,4
20,21,4
20,25,4
21,1,4
21,2,4
21,3,4
21,6,4
21,7,4
21,8,4
21,9,4
21,10,4
21,12,4
21,14,4
21,15,4
21,17,4
21,18,4
21,21,4
21,25,4
22,1,1
22,2,1
22,3,1
22,6,1
22,7,1
22,8,1
22,9,1
22,10,1
22,12,1
22,14,1
22,15,1
22,17,1
22,18,1
22,21,1
22,25,1
23,1,1
23,2,1
23,3,1
23,6,1
23,7,1
23,8,1
23,9,1
23,10,1
23,12,1
23,14,1
23,15,1
23,17,1
23,18,1
23,21,1
23,25,1
24,1,3
24,2,3
24,3,3
24,6,3
24,7,3
24,8,3
24,9,3
24,10,3
24,12,3
24,14,3
24,15,3
24,17,3
24,18,3
24,21,3
24,25,3
25,1,2
25,2,2
25,3,2
25,6,2
25,7,2
25,8,2
25,9,2
25,10,2
25,12,2
25,14,2
25,15,2
25,17,2
25,18,2
25,21,2
25,25,2
26,1,4
26,2,4
26,3,4
26,6,4
26,7,4
26,8,4
26,9,4
26,10,4
26,12,4
26,14,4
26,15,4
26,17,4
26,18,4
26,21,4
26,25,4
27,1,4
27,2,4
27,3,4
27,6,4
27,7,4
27,8,4
27,9,4
27,10,4
27,12,4
27,14,4
27,15,4
27,17,4
27,18,4
27,21,4
27,25,4
28,1,4
28,2,4
28,3,4
28,6,4
28,7,4
28,8,4
28,9,4
28,10,4
28,12,4
28,14,4
28,15,4
28,17,4
28,18,4
