1,on 
2,wrist
3,there
4,looks
5,most
6,consistent
7,lichen
8,planus
9,because
10,striae
11,see
12,scale
13,top
14,would
15,say
16,about
17,ninety-five
18,percent 
19,next
20,so 
21,in
22,child
23,along
24,left
25,or
26,ala
27,sort
28,probably
29,millimeter
30,papule
31,juvenile
32,xanthogranuloma
33,although
34,guess
35,differential 
36,could
37,also
38,include
39,cyst
40,versus
41,but
42,would 
43,likely
44,seventy
45,like
46,on
47,nasal
48,tip
49,pearly
50,hyperpigmented
51,telangiectasias
52,looking
53,like 
54,basal
55,cell
56,carcinoma
57,i'd
58,percent
59,so
60,some
61,kind
62,scar
63,linear
64,area
65,forearm
66,i'm
67,sorry
68,arm
69,don't
70,know
71,it's
72,picture
73,difficult
74,maybe
75,psoriasis
76,only
77,ten
78,serpiginous
79,dorsal
80,foot
81,cutaneous
82,larva
83,migrans
84,ninety
85,hyperkeratotic
86,nodule
87,central
88,crusting
89,then
90,numerous
91,surrounding
92,papules
93,around
94,my
95,amelanotic
96,melanoma
97,they
98,bites
99,lymphoma
100,salt-and-pepper
101,type
102,depigmentation
103,follicular
104,hyperpigmentation
105,scleroderma
106,think
107,vitiligo
108,differential
109,as
110,morphea
111,eighty
112,large
113,black
114,can't
115,tell
116,what
117,first
118,thought
119,nodular
120,seborrheic
121,keratosis
122,go
123,for
124,malignant
125,violaceous
126,erythema
127,kaposi's
128,sarcoma
129,vasculitis
130,less
131,bite
132,vascular
133,lesions
134,such
135,verrucous
136,stuck-on
137,plaque
138,hundred
139,these
140,look
141,yellowish
142,tumors
143,nodules
144,present
145,elbow
146,appear
147,xanthomas
148,gout
149,annular
150,scaly
151,thigh
152,scattered
153,plaques
154,well
155,tinea
156,corporis
157,eczema
158,granuloma
159,annulare
160,sixty
161,two
162,well-circumscribed
163,erythematous
164,urticaria
165,fixed
166,drug
167,eruption
168,have
169,twenty
170,there's
171,bilateral
172,tense
173,edema
174,some 
175,acute
176,contact
177,dermatitis
178,eczematous
179,diagnosis 
180,dermatomyositis
181,much
182,border
183,appears
184,somewhat
185,papular
186,includes
187,centrifugum
188,favor
189,clearing
190,faciei
191,you
192,face
193,crust
194,at
195,edge
196,axillary
197,bullae
198,here
199,vesicles
200,multiforme
201,stevens-johnson
202,though
203,base
204,erosion
205,ruptured
206,diagnosis
207,case
208,bullous
209,pemphigoid
210,pemphigus
211,vulgaris
212,arthropod
213,leg
214,knee
215,iga
216,dermatosis
217,crusted
218,over
219,forehead
220,light
221,just
222,acne
223,actually
224,consider
225,disseminated
226,zoster
227,pinpoint
228,pustules
229,herpes
230,simplex
231,folliculitis
232,fifty
233,nose
234,malar
235,cheek
236,can
237,nostril
238,superficial
239,infection
240,shoulder
241,areas
242,hypopigmentation
243,more
244,axilla
245,has
246,acanthosis
247,nigricans
248,thirty
249,depigmented
250,macule
251,right
252,vermilion
253,lower
254,lip
255,pityriasis
256,alba
257,hypopigmented
258,atrophic
259,chest
260,sclerosus
